SourceCode	Source	Field3	Field4
BL/HJ	<EM>Halifax Journal</EM> 1801-1811	n	Betty Longbottom
BL/ID	BL/ID	NULL	NULL
BL/Ins	BL/Ins	NULL	NULL
BL/Int	<EM>Leeds Intelligencer</EM> 1755-1802	n	Betty Longbottom
BL/JHT	BL/JHT	NULL	NULL
BL/LG	Yorkshire information from <EM>London Gazette</EM>	n	Betty Longbottom
BL/LIBEL	BL/LIBEL	NULL	NULL
BL/LL	Leeds Subscription Library	m	Betty Longbottom
BL/MCL	BL/MCL	NULL	NULL
BL/Merc	<EM>Leeds Mercury </EM>1718-1751	n	Betty Longbottom
BL/MIL	Militia/Muster Rolls	NULL	NULL
BL/News	BL/News	NULL	NULL
BL/NSL	Leeds New Subscription Library	m	Betty Longbottom
BL/OATH	References to the Protestation Oath of 1723	m	Alan Longbottom
BL/PB	Poll Books	m	Alan Longbottom
BL/PM	Information on Primitive Methodists	u	Alan Longbottom
BL/PP	BL/PP	NULL	NULL
BL/PR	Monumental inscriptions from Leeds Parish Church, Mill Hill Chapel (Leeds), St John's Church (Leeds) and Halifax Parish Church	u	Betty Longbottom
BL/PRO	Information from PRO Catalogue searches in Class list probate	m	Alan Longbottom
BL/QS	BL/QS	NULL	NULL
BL/RLY	BL/RLY	NULL	NULL
BL/SAL	BL/SAL	NULL	NULL
BL/SR	Surrey Record Series	NULL	NULL
BL/TD	Yorkshire information from trade directories:<BR>\n              Â  Bailey 1781 & 1784<BR>\n              Â  Baines 1822<BR>\n              Â  Holden 1809/11<BR>\n              Â  Leeds 1798, 1800, 1807, 1809, 1817<BR>\n              Â  PIGOT 1814, 1816, 1818, 1830<BR>\n              Â  Universal British Directory<BR>      \n                Bradford 1850	d	Betty Longbottom
BL/UJ	<EM>The Union Journal</EM> (Halifax) 1759-1760	n	Betty Longbottom
BL/VENN	Venn, <EM>Alumni Cantabrigienses</EM> up to 1750	p	Alan Longbottom
BL/Watch1835	<EM>The Watchman </EM>[a Methodist Newspaper]	n	Alan Longbottom
BL/WH	BL/WH	NULL	NULL
BL/WILL	Wills/prob	NULL	NULL
BL/WS	<EM>Wakefield Star & West Riding Advertiser</EM> 1803-1811	n	Betty Longbottom
BL/YC	<EM>York Chronicle & Weekly Advertiser </EM>1783-1785	n	Betty Longbottom
BLACK	Black, Michael, <EM>Cambridge University Press 1584-1984</EM> (Cambridge: CUP, 2000)	NULL	NULL
BLACKJ	Black, Jeremy, '' Calculated Upon a Very Extensive and Useful Plan': The English Provincial Press in the Eighteenth Century', in <EM>Six Centuries of the Provincial Book Trade in Britain</EM>, ed. Isaac, Peter (Winchester, 1990), pp61-72.	NULL	NULL
BLACKJ2	Black, Jeremy, 'Politicisation and the Press in Hanoverian England', in <EM>Serials and Their Readers 1620-1914</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1993), pp63-81	NULL	NULL
BLACKJ3	Black, Jeremy, 'Fresh Light on Ministerial Patronage of Eighteenth Century pamphlets', in <EM>Publishing History 19 </EM> (1986), pp53-58	NULL	NULL
BLACKJ4	Black, Jeremy, 'Conducting the Gazette: Comments by the Printer in 1757', in <EM>Publishing History 21</EM> (1987), pp93-8.	NULL	NULL
BLACKJ5	Black, Jeremy, 'Continuity and Change and the British Press 1750-1833' in <EM>Publishing History 36</EM> (1994), pp39-85	NULL	NULL
BLAGG	Blagg, Thomas M., <EM> Newark as a publishing town</EM> (Newark, 1898)	NULL	NULL
BLAYNEYP	Blayney, Peter, 'William Cecil and the Stationers', in <EM>The Stationers' Company and the Book Trade 1550-1990</EM> eds. Myers, Robin & Harris, Michael (Winchester, 1997), pp11-34.	NULL	NULL
BOALCH	Boalch, D.H., <EM>Prints and Paintings of British Farm Livestock 1780-1910</EM> (Harpenden, 1958)	p	NULL
BOASE	Boase, Frederic, <EM>Modern English Biography</EM>, vol. V (1965), col.309	p	NULL
BOOK HISTORY	</EM>Book History<EM> ed. E.Greenspan and J.Rose. Pennsylvania State University Press.</EM> 	NULL	NULL
BOWMAN	Bowman, J H., <EM>Greek Printing Types in Britain in the Nineteenth Century: A Catalogue</EM> (Oxford, 1992).	NULL	NULL
BPB1774	Poll Bookâ€¦<EM>Election for the City and County of Bristol 1774</EM>	p	NULL
BPB1784	<EM>Poll Bookâ€¦Election for the City and County of Bristol 1784</EM>	p	NULL
BRADFORD	Ibbetson, James, <EM>Ibbetson's General & Classified Directory:  Bradford 1850.</EM><BR>	NULL	NULL
Bromley House	A Directory of Names Associated with Bromley House Library 1816 to 1916 at: http://www.ashbracken.com/BrHouse-HTML/BrH1816-Index.html	NULL	NULL
BROWN	Brown, Philip A.H., <EM>London Publishers and Printers c. 1800-1870 </EM>(London, 1982)	p	NULL
BROWNE85	Browne (Arthur) & Son &c., <EM>Bristol Directory </EM>(Brisol, 1785)	d	NULL
BROWNELL	Brownell, W., <EM>Sheffield General Directory </EM>(Sheffield, 1817)	d	NULL
BRS84	<EM>British Record Society</EM>, vol. 84 (1969), Index to Wills in Record Office, Chelmsford III	p	NULL
BRYAN	Bryan, Michael, <EM>Dictionary of Painters and Engravers</EM>, ed. G.C. Williamson (London, 1903-4)	p	NULL
BSUS-12	East Sussex Census 1851	m	Berry Harper
BSUS-13	PIGOT 1839 for Kent, Surrey and Sussex	d	Berry Harper
BTNW1	Liverpool Bibliographical Society, <EM>The Book Trade in Liverpool to 1805: a directory</EM> (Liverpool, Book Trade in the North West Project, Occ. Pub. 1, 1981)	p	NULL
BTNW2	Liverpool Bibliographical Society, <EM>The Book Trade in Liverpool from 1806 to 1850: a directory</EM> (Liverpool, Book Trade in the North West Project, Occ. Pub. 2, 1987)	p	NULL
BTNW3	Liverpool Bibliographical Society, <EM>The Book Trade in Cheshire to 1850: a directory </EM>(Liverpool, Book Trade in the North West Project, Occ. Pub. 3, 1992)	p	NULL
BTNWX	Liverpool Bibliographical Society, Unspecified (Liverpool, Book Trade in the North West Project)	NULL	NULL
BUC-CRO	Buckinghamshire Record Office, notices of printing presses under the Unlawful Societies Act 1799 (Q/RSp)	r	NULL
BURCH	Burch, R.M., <EM>Colour Printing and Colour Printers</EM>, 2nd ed. (London, 1910; reprd. Edinburgh, 1983)	p	NULL
C&E1816	<a name="c">Manuscript list of paper mills, 8 October 1816 (Customs & Excise)	m	NULL
CAFFYN	Caffyn, John, <EM>Sussex Schools in the 18th Century</EM> (Lewes, 1998)	p	NULL
CASS	Cass, Eddie, 'The G.R. Axon Collection of Broadsides', in </EM><EM>Printing and the Book in Manchester 1700-1850</EM>, eds. Cass, Eddie & Garratt, Morris (Otley, 2001), pp165-172	NULL	NULL
Cem	Data from Sheffield General Cemetery Records (probably all journeymen)	m	Tanya Schmoller
CENSUS	Census with year	m	NULL
CHALONER SMITH	Chaloner Smith, John, <EM>British Mezzotint Portraits</EM>, 4 vols. (London, 1884)	p	NULL
CHAMBERSD	Chambers, David, 'Private Printing in London in the Nineteenth Century', in <EM>The London Book Trade</EM>, eds. Myers, Robin; Harris, Michael & Mandelbrote, Giles (London, 2003), pp145-175	NULL	NULL
CHANTER	Chanter, J.R., <EM>Sketches of the Literary History of Barnstaple</EM> (Barnstaple, 1886)	p	NULL
CHAPBOOKS	</EM><EM>Chapbooks</EM>, Children's Book Society (Hodsdon, 1996)	NULL	NULL
CHATTO	CHATTO	NULL	NULL
CHETHAM	Evans, D.R., 'A Preliminary History of the Booktrade in Manchester to 1851', unpublished (Manchester, Chetham's Library)	p	NULL
CHILTON	Chilton, C.W., <EM>Early Hull Printers and Booksellers</EM> (Hull, 1982)	p	NULL
CHREG	Regester [sic] of license [sic â€“ for chapmen] for the year from 24 June 1697 (Public Record Office, Kew A03/370, 371)	m	NULL
CHRI	CHRI	NULL	NULL
CHT	Timperley, C.H., <EM>Encyclopaedia of Literary and Typographical Anecdote</EM> (London, 1842; reprd. New York, 1977)	p	NULL
CHUBB	Chubb, Thomas, <EM>The Printed Maps in the Atlases of Great Britain and Ireland</EM> (London, 1927)	p	NULL
CHUBB-STEPHEN	'A descriptive list of the printed maps of Norfolk 1574-1916 by T. Chubb and a descriptive list of Norwich plans 1541-1914 by Geo A. Stephen', (Norwich, 1928).	NULL	NULL
CI	CI	NULL	NULL
CLARK	Records of children of London families placed at nurse outside London	m	Gillian Clark
CLOUGH	Clough, E.A., <EM>A short-title catalogue arranged geographically of books printed and distributed . . . In the English provincial towns and in Scotland and Ireland up to . . . 1700 </EM>(London, 1969)	p	NULL
Coghlan	<EM>The Correspondence of James Peter Coghlan (1731-1800)</EM> (Catholic Record Society, 2007)	NULL	NULL
COLCLOUGH	Colclough, Stephen, 'Recovering the Reader: Commonplace Books and Diaries as Sources of Reading Experience', in <EM>Publishing History 44</EM> (1998), pp5-37	NULL	NULL
COLCLOUGH2	Colclough, Stephen, 'Documents & Sources: 'A Catalogue of My Books': The Library of John Dawson (1692-1765), 'Exciseman and staymaker', c1739': John Dawson & His Catalogue', in<EM> Publishing History 47</EM> (2000), pp45-66	NULL	NULL
COMBE	Combe, T. & Son, <EM>The Leicester Directory</EM> (Leicester, 1827)	d	John Hinks
COOK42	Cook, T., <EM>The Leicestershire Almanack, Directory & Advertiser 1842</EM> (Leicester, 1842) and A Guide to Leicester containing a Directory . . . 1843 (Leicester, 1843)	d	John Hinks
COOPERA	Cooper, Audrey, 'George Nicholson and his Cambrian Traveller's Guide' in <EM>The Mighty Engine: The Printing Press and its Impact</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 2000) pp43-56.	NULL	NULL
COOPERM	Cooper, Margaret, 'A Snuff Box from the King of Prussia: The Remarkable Career of Benjamin Maund, Bookseller, Druggist and Botanist', in <EM>The Reach of Print: Making, Selling and Using Books</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 1998), pp51-64.	NULL	NULL
COOPERM2	Cooper, Margaret, 'Influential and Mysterious: The Career of Septimus Prowett: Bookseller, Publisher and Picture Dealer', in <EM>Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004) pp107-118.	NULL	NULL
COPAC	http://copac.jisc.ac.uk/	NULL	NULL
COPSEY	Miscellaneous information about Suffolk book trade	u	Tony Copsey
COPSEY/HALLAM	Copsey, Tony, <EM>Book Distribution and Printing in Suffolk 1534-1850<EM>, with a Checklist of Books Printed in the County compiled by Tony Copsey and Henry Hallam (Ipswich, 1994)	p	NULL
COPSEY2	Copsey, Tony, <EM>Suffolk Authors to 1800	NULL	NULL
CP	Charles, Parry (Aberystwyth), Late seventeenth-century proposals/prospectuses and advertisements for patent medicines	u	Charles Parry
CRANE	Crane, R.S. and F.B. Kaye, <EM>A Census of British Newspapers and Periodicals, 1620-1800<EM> (Chapel Hill, 1927)	p	NULL
CRIST	Crist, Timothy, 'Government Control of the Press After the Expiration of the Printing Act in 1679', in <EM>Publishing History V </EM>(1979), pp49-77	NULL	NULL
CROMPTON	Crompton, J. Leicestershire Lollards, in Trans. Leic. Arch. Soc. v44, pp11-44	NULL	NULL
DAPB 74	<a name="d">Westminster poll books 1774	m	NULL
DAPB 88	Westminster poll books 1788	m	NULL
DAVIES	Davies, Robert, <EM>A Memoir of the York Press<EM> (London, 1868; reprd. York, 1988)	p	NULL
DAVIESPP	Davies, Alun Eirug, 'Paper-mills and paper-makers in Wales 1700-1900', <EM>National Library of Wales Journal</EM> 15.1 (1967), pp.1-30	p	NULL
DAY	Day, John C. <EM>The Circulating Library in the North West </EM>, History of the Book Trade in the North (Newcastle, 1994)	NULL	NULL
DCHAM	Information for Hampshire, based on:<BR>\n              &nbsp; <EM>Hampshire Directory</EM> (1784)<BR>\n              &nbsp; <EM>Universal British Directory</EM><BR>\n              &nbsp; PIGOT 1823/4, 1828, 1831/2, 1844<BR>\n              &nbsp; Post Office, <EM>Hampshire Trades Directory</EM> (1847)	d	Diana Coldicott
DDM	<EM>Drewry's Derby Mercury</EM> (with date between 1773 & 1792)	n	NULL
DER-CRO	Derbyshire Record Office, registrations under Seditious Societies Act 1799 (Ref Q/RS5)	r	NULL
DESFORGES	DesForges, Jane, ''Satisfaction and Improvement': A Study of Reading in a Small Quaker Community 1770-1820', in <EM>Publishing History 49</EM> (2001), pp5-48	NULL	NULL
DIR	DIR	NULL	NULL
DIRCARD	<EM>Directory & Guide to Cardiff</EM> (Cardiff 1796)	NULL	NULL
DIXON	Information from Simon Dixon, based on Digest of Quaker marriage registers in London and Middlesex 1658-1719, Friends House, London.	1	NULL
DIXOND	Dixon, Diana, 'Newspapers in Huntingdonshire in the Eighteenth and Nineteenth Century', in <EM>The Mighty Engine: The Printing Press and its Impact</EM>, eds. Isaac, Peter & McKay, Barry (Winchester, 2000), pp143-151	NULL	NULL
DIXOND2	Dixon, Diana, 'Paths Through the Wilderness: Recording the History of Provincial Newspapers in England', in <EM> Light on the Book Trade</EM>, eds. McKay, Barry; Hinks, John & Bell, Maureen (New Castle & London, 2004), pp153-163	NULL	NULL
DJH/RSMa	Mortimer, Russell S., 'Biographical notices of printers and publishers of Friends' books up to 1750', <EM>Journal of Documentation</EM>, 3 pt 1 (June 1947)	p	NULL
DJH/RSMb	Mortimer, Russell S., 'The first century of Quaker printers', <EM>Journal of the Friends' Historical Society</EM>, 40 (1949)	p	NULL
DJH/RSMc	Mortimer, Russell S., 'The first century of Quaker printers', <EM>Journal of the Friends' Historical Society</EM>, 41 (1949)	p	NULL
DJH/RSMd	Mortimer, Russell S., 'Quaker printers, 1750-1850', <EM>Journal of the Friends' Historical Society</EM>, 50 pt 3 (1963)	p	NULL
DK.Ess	Information for Essex, based on:<BR>\n              &nbsp; Registrations (1799-1832) under the Seditious Societies Act \n              1799 in Essex Record Office<BR>\n              &nbsp; PENDRED<BR>&nbsp; UBD<BR>\n              &nbsp; PIGOT 1823, 1826 & 1832<BR>\n              &nbsp; Peddie, R.A., 'Notes on provincial printers and booksellers \n              - Essex', <EM>The Library World</EM>, 7 (1904-5)	rdp	David Knott
DK.Ken	 David Knott's information for Kent, Unspecified	NULL	NULL
DK.Sur	Information for Surrey (1775-1829) based on:<BR>\n              &nbsp; PENDRED<BR>&nbsp; UBD<BR>\n              &nbsp; PIGOT 1823, 1826 & 1828-9<BR>\n              &nbsp; PIPER3	d	David Knott
DMK	McKitterick, David, <EM>A History of Cambridge University Press</EM>, 2 volumes (Cambridge: CUP, 1992)	NULL	NULL
DNB	<EM>Dictionary of National Biography</EM> (Oxford, 1908-9)	p	NULL
DOR-CRO	Dorset County Record Office, certificates for printing presses and types for printing (Dorset Quarter Sessions Miscellaneous Papers Bundle 6)	r	NULL
DOWNIEJA	Downie, J. A. 'Periodicals and Politics in the Reign of Queen Anne', in <EM>Serials and Their Readers 1620-1914</EM>, eds. Myers, Robin & Harris, Michael (Winchester, 1993), pp45-61	NULL	NULL
DOYLEAI	Doyle, A.I. 'The English Provincial Book Trade before Printing', in <EM>Six Centuries of the Provincial Booktrade in Britain</EM>, ed. Isaac, Peter (Winchester, 1990), pp13-29.	NULL	NULL
DREDGE	Dredge, John Ingle, <EM>Devon Booksellers and Printers in the 17th and 18th Centuries </EM>(Plymouth, 1885-91)	p	NULL
DUFF	Duff, E. Gordon, <EM>A Century of the English Book Trade</EM> (London, 1948)	p	NULL
DUNTON	Dunton, John, <EM>The Life and Errors of John Dunton </EM>(London, 1705)	p	NULL
Eastbourne Herald	<a name="e">Eastbourne Herald	NULL	NULL
EDWARDS	Edwards, F.A., 'Early Hampshire printers', <EM>Papers and Proceedings of the Hampshire Field Club</EM>, 2 (1890-93), pp. 110-34	p	NULL
EDWARDSR	Edwards, Rosa, 'James Edwards, Giambattista Bodoni and 'The Castle of Otranto': Some Unpublished Letters', in <EM>Publishing History  XVIII</EM> (1985)  pp5-48	NULL	NULL
ELLIOT	Letter books of Charles Elliot with book number and folio, in archives of John Murray (Publishers) Ltd.	m	NULL
